Date,PCR,IV_C,STD_C,IV_P,STD_P
2020-10-07,1.768667816,0.053954543,0.056961306,0.084071094,0.243824857
2020-10-08,0.943207318,0.089010439,0.038640679,0.170353393,0.323490872
2020-10-12,1.121643994,0.099592438,0.046492818,0.158081042,0.406812655
2020-10-13,1.216268565,0.081379328,0.054926634,0.135471982,0.36268305
2020-10-14,0.808478958,0.083621456,0.061202601,0.119916021,0.566424863
2020-10-15,0.909067248,0.169261888,0.065228418,0.238477907,0.579679148
2020-10-16,0.901851305,0.196958984,0.072035065,0.222463236,0.639619898
2020-10-19,1.448423311,0.165583607,0.138900767,0.363899601,0.888624381
2020-10-20,1.047171099,0.253293678,0.171725551,0.318159851,1.28773121
2020-10-21,,,,,
2020-10-22,1.113992533,0.05785557,0.040885929,0.147196278,0.346327443
2020-10-23,1.095888493,0.067783055,0.03491806,0.099805163,0.300691197
2020-10-26,1.11923675,0.057993984,0.040874182,0.088320535,0.366357299
2020-10-27,1.108847536,0.044845888,0.044449048,0.077080098,0.213020405
2020-10-28,0.768983681,0.054166115,0.047049313,0.074891478,0.276600932
2020-10-29,1.134227827,0.112928387,0.037599004,0.178350216,0.237393791
2020-10-30,0.858494398,0.126498989,0.041868141,0.154812566,0.243890295
2020-11-02,1.03220332,0.090645494,0.047683332,0.196811816,0.273857048
2020-11-03,1.368518016,0.0765036,0.05679752,0.159839413,0.378597951
2020-11-04,2.073209076,0.077081025,0.06245833,0.118057352,0.18995531
2020-11-05,1.080759424,0.11379324,0.034035433,0.198536715,0.3782869
2020-11-06,1.129607091,0.103691866,0.036356699,0.164122804,0.37509031
2020-11-09,1.320222734,0.101065176,0.056231088,0.18042615,0.501115331
2020-11-10,0.754179114,0.15187738,0.082720182,0.122132492,0.426580598
2020-11-11,4.309770898,0.132127625,0.075048044,0.149141773,0.361012562
2020-11-12,1.007698355,0.206378043,0.061836981,0.222047467,0.642072844
2020-11-13,1.268361699,0.143586946,0.065610488,0.247834583,0.722161942
2020-11-16,1.886338383,0.190187427,0.144981315,0.388808396,0.909771843
2020-11-17,0.739833715,0.372508815,0.206908818,0.378733425,1.569178019
2020-11-18,,,,,
2020-11-19,0.956497474,0.100068546,0.040140063,0.108446707,0.292928886
2020-11-20,0.960970099,0.081698847,0.03558272,0.093449985,0.244291251
2020-11-23,1.281087664,0.06840255,0.043933446,0.118471118,0.467031048
2020-11-24,0.656964151,0.073784491,0.04280662,0.077042669,0.29953358
2020-11-25,0.442930993,0.065932291,0.047711588,0.080831314,0.323558383
2020-11-26,1.208233636,0.071759063,0.036854127,0.126069621,0.252659747
2020-11-27,1.250680108,0.067460962,0.036034451,0.106496961,0.20574561
2020-11-30,0.473966971,0.12664113,0.049493591,0.103889836,0.397663982
