JID,VERDICT,own_verdict,JTYPE
"TCDM,99,智易,56,20101022,1",Win,Other,CRIMINAL
"TYDM,111,智附民,3,20230406,1",Win,Mixed,CWC
"TPDM,102,智附民,1,20130509,1",Win,Mixed,CWC
"TNDM,93,簡,1897,20040820,1",Win,Other,CRIMINAL
"KLDM,92,訴,331,20031030,1",Win,Other,CRIMINAL
"PCDM,95,簡,5756,20070320,1",Win,Other,CRIMINAL
"IPCA,112,行商更一,3,20240321,1",Lose,Remand,ADMINISTRATIVE
"KSDM,89,易,5502,20010120,2",Win,Other,CRIMINAL
"PTDM,92,簡,664,20031106,1",Win,Other,CRIMINAL
"TPHM,93,上訴,402,20040430,1",Win,Other,CRIMINAL
"TCHM,94,上更(一),100,20050526,1",Win,Other,CRIMINAL
"PCDM,100,智簡,69,20120229,1",Win,Other,CRIMINAL
"PCDM,99,智簡,93,20101105,1",Win,Other,CRIMINAL
"TPDV,95,智,92,20061027,1",Win,Mixed,CIVIL
"TYDM,112,桃智簡,6,20230407,1",Win,Other,CRIMINAL
"TNDM,89,易,455,20010404,3",Win,Other,CRIMINAL
"KSDM,110,智簡,20,20210621,1",Win,Other,CRIMINAL
"CHDM,98,簡,1299,20090701,1",Win,Other,CRIMINAL
"TNDM,102,智訴,11,20140827,1",Win,Other,CRIMINAL
"PCDM,97,簡上,254,20080708,1",Win,Other,CRIMINAL
"TCDM,92,自,107,20030711,1",Win,Other,CRIMINAL
"TPDM,89,簡,218,20000805",Win,Other,CRIMINAL
"KSDM,107,智簡上,3,20180816,1",Win,Other,CRIMINAL
"KSDM,104,智簡,44,20150831,1",Win,Other,CRIMINAL
"IPCM,100,刑智上訴,25,20110727,1",Win,Other,CRIMINAL
"TPDM,89,易,97,20000523,1",Win,Other,CRIMINAL
"CHDM,106,智簡,17,20170823,1",Win,Other,CRIMINAL
"TCDM,101,中智簡,29,20120315,1",Win,Other,CRIMINAL
"IPCV,99,民專上易,35,20111110,2",Other,Lose,CIVIL
"KSDM,92,易,2024,20040521,1",Lose,Other,CRIMINAL
"SCDM,97,竹簡,1057,20081003,1",Win,Other,CRIMINAL
"TYDM,112,審智簡,18,20240312,1",Win,Other,CRIMINAL
"TPDM,105,智簡,46,20161118,1",Win,Other,CRIMINAL
"CHDM,106,智簡,23,20171108,1",Win,Other,CRIMINAL
"TPDM,108,智易,36,20200116,1",Lose,Other,CRIMINAL
"CHDM,107,智簡,7,20180331,1",Win,Other,CRIMINAL
"TYDM,113,審智簡,5,20240928,1",Win,Other,CRIMINAL
"HLDM,98,花簡,1,20090116,1",Win,Other,CRIMINAL
"KLDM,103,智易,2,20140815,1",Win,Other,CRIMINAL
"MLDM,104,智簡附民,2,20151014,1",Win,Mixed,CWC
"TCDM,107,智簡,8,20180525,1",Win,Other,CRIMINAL
"TYDM,89,易,44,20000202",Win,Other,CRIMINAL
"SCDM,103,智簡,8,20140423,1",Win,Other,CRIMINAL
"CYDM,106,智簡,44,20171128,1",Win,Other,CRIMINAL
"SLDM,90,簡,955,20011221,1",Win,Other,CRIMINAL
"KSDM,96,簡,6743,20080519,1",Win,Other,CRIMINAL
"TCDM,106,智簡,19,20170630,1",Win,Other,CRIMINAL
"TPDM,110,智簡上,5,20220512,1",Lose,Other,CRIMINAL
"KSDM,95,簡上,1458,20070208,1",Lose,Other,CRIMINAL
"TYDM,111,智簡,1,20220811,1",Win,Other,CRIMINAL
"KSDM,93,簡,1902,20040721,1",Win,Other,CRIMINAL
"IPCV,106,民著上,13,20180830,1",Lose,Win,CIVIL
"KSDM,98,易,763,20100416,1",Win,Other,CRIMINAL
"TPDM,110,智簡,51,20211025,1",Win,Other,CRIMINAL
"IPCV,104,民專上更(一),9,20170316,3",Lose,Remand,CIVIL
"CHDM,93,易,146,20040420,1",Win,Other,CRIMINAL
"TCDM,105,智易,32,20170215,1",Win,Other,CRIMINAL
"TPDM,92,簡,4064,20031118,1",Win,Other,CRIMINAL
"IPCV,111,民商訴,43,20230203,1",Win,Mixed,CIVIL
"IPCM,107,刑智上易,74,20190307,1",Win,Other,CRIMINAL
"IPCM,99,刑智上易,5,20100322,1",Lose,Other,CRIMINAL
"TCDM,99,智易,68,20110314,2",Lose,Other,CRIMINAL
"CHDM,110,智簡,36,20210825,1",Win,Other,CRIMINAL
"IPCV,98,民專訴,31,20091005,2",Win,Mixed,CIVIL
"TPDM,110,智簡,55,20220111,1",Win,Other,CRIMINAL
"KLDM,102,基智簡,2,20130305,1",Win,Other,CRIMINAL
"SCDM,90,易,149,20010420,1",Win,Other,CRIMINAL
"CYDM,96,嘉簡,1965,20080530,1",Win,Other,CRIMINAL
"KSDM,107,智簡,13,20180518,1",Win,Other,CRIMINAL
"CYDM,103,智簡,44,20141229,1",Win,Other,CRIMINAL
"ILDM,89,易,585,20011106,1",Win,Other,CRIMINAL
"PCDM,100,智簡,53,20110729,1",Win,Other,CRIMINAL
"KSDM,97,簡上,552,20081008,1",Win,Other,CRIMINAL
"SLDM,104,智訴緝,1,20150731,1",Win,Other,CRIMINAL
"KSDM,105,智簡,87,20170330,1",Win,Other,CRIMINAL
"TYDM,100,審智簡,5,20111020,1",Win,Other,CRIMINAL
"TPSM,93,台上,5454,20041021",Lose,Remand,CRIMINAL
"TCDM,88,易,3745,20000307",Win,Other,CRIMINAL
"CHDM,109,智簡,47,20210205,1",Win,Other,CRIMINAL
"TPDM,105,智簡,55,20170106,1",Win,Other,CRIMINAL
"KSDM,102,智簡,182,20131125,1",Win,Other,CRIMINAL
"TCDM,96,易,5278,20071225,1",Win,Other,CRIMINAL
"CYDM,101,智簡,24,20120622,1",Win,Other,CRIMINAL
"PCDM,93,簡上,342,20040924,1",Win,Other,CRIMINAL
"KSDM,103,智簡,14,20140122,1",Win,Other,CRIMINAL
"CHDM,90,易,1111,20030113,1",Win,Other,CRIMINAL
"CHDM,111,智簡,36,20221128,1",Win,Other,CRIMINAL
"PCDM,96,簡,6973,20071130,1",Win,Other,CRIMINAL
"TCDM,113,智易,27,20240726,1",Win,Other,CRIMINAL
"KSHM,90,上易,517,20010523,1",Win,Other,CRIMINAL
"IPCM,99,刑智上更(一),7,20100719,1",Win,Other,CRIMINAL
"TYDM,107,壢智簡,9,20190626,1",Win,Other,CRIMINAL
"PCDM,98,簡,8191,20091023,1",Win,Other,CRIMINAL
"SCDM,89,訴,436,20001013",Win,Other,CRIMINAL
"TPDM,100,智簡,13,20110225,1",Win,Other,CRIMINAL
"ULDM,107,智簡,2,20190930,1",Win,Other,CRIMINAL
"PCDM,97,簡,5929,20080709,1",Win,Other,CRIMINAL
"IPCM,100,刑智上易,130,20120117,1",Win,Other,CRIMINAL
"CHDM,110,智簡,3,20210225,1",Win,Other,CRIMINAL
"PCDM,105,智簡,75,20161123,1",Win,Other,CRIMINAL
"TYDM,100,智訴,3,20111223,1",Mixed,Other,CRIMINAL
"IPCV,101,民專上,12,20121129,2",Win,Mixed,CIVIL
"TPDM,103,智附民,13,20141126,3",Win,Mixed,CWC
"TYDM,113,壢智簡,7,20240712,1",Win,Other,CRIMINAL
"TPBA,95,訴,975,20070711,2",Win,Mixed,ADMINISTRATIVE
"TCDM,109,中智簡,83,20210531,1",Win,Other,CRIMINAL
"IPCV,105,民商上,7,20170511,1",Lose,Mixed,CIVIL
"TPDM,90,訴,577,20011029,1",Win,Other,CRIMINAL
"TPDM,97,簡,2876,20080731,1",Win,Other,CRIMINAL
"IPCV,100,民商訴,32,20120418,1",Win,Mixed,CIVIL
"PCDM,102,智簡,108,20140106,1",Win,Other,CRIMINAL
"PCDM,106,智簡,10,20170119,1",Win,Other,CRIMINAL
"PCDM,93,簡上,308,20050524,1",Win,Other,CRIMINAL
"IPCV,111,民商上更一,6,20231109,2",Lose,Remand,CIVIL
"CHDM,106,智簡,33,20171229,1",Win,Other,CRIMINAL
"KSDM,100,智簡,142,20111108,1",Win,Other,CRIMINAL
"SCDM,102,智簡,49,20131205,1",Win,Other,CRIMINAL
"TPDM,100,智簡,10,20110406,1",Win,Other,CRIMINAL
"IPCA,98,行商更(一),10,20100422,2",Win,Other,ADMINISTRATIVE
"TPDM,96,簡,2860,20070926,1",Win,Other,CRIMINAL
"KLDM,99,智易,18,20110603,1",Win,Other,CRIMINAL
"TNHM,95,重上更(三),29,20060426,1",Win,Other,CRIMINAL
"KSDM,103,智簡,46,20140318,1",Win,Other,CRIMINAL
"TYDM,97,壢簡,2959,20081129,1",Win,Other,CRIMINAL
"TCDM,101,智易,23,20120606,1",Win,Other,CRIMINAL
"IPCV,105,民專訴,44,20170728,2",Win,Mixed,CIVIL
"IPCV,109,民營上易,1,20200806,1",Win,Mixed,CIVIL
"KSDM,92,易,1747,20030829,1",Win,Other,CRIMINAL
"SCDM,101,智簡,7,20120427,1",Win,Other,CRIMINAL
"TPDM,95,訴,444,20060630,1",Win,Other,CRIMINAL
"IPCM,100,刑智上更(四),6,20120111,2",Lose,Other,CRIMINAL
"TPBA,95,訴,3424,20070725,1",Win,Other,ADMINISTRATIVE
"CHDM,105,智簡,14,20160524,1",Win,Other,CRIMINAL
"IPCA,102,行專訴,88,20131226,2",Win,Other,ADMINISTRATIVE
"IPCM,113,刑智上訴,10,20241017,1",Win,Other,CRIMINAL
"PCDM,111,智易,43,20230418,1",Win,Other,CRIMINAL
"TNDM,106,智易,20,20180403,2",Lose,Other,CRIMINAL
"TYDM,98,壢簡,3338,20100121,1",Win,Other,CRIMINAL
"TYDM,96,桃簡,1024,20070625,1",Win,Other,CRIMINAL
"TPSM,95,台上,684,20060210",Lose,Remand,CRIMINAL
"PHDM,99,智訴,1,20110622,1",Win,Other,CRIMINAL
"TPDM,105,智簡上附民,1,20170222,1",Win,Mixed,CWC
"PCDM,101,智簡,61,20120709,1",Win,Other,CRIMINAL
"TPDM,100,智簡,96,20111130,1",Win,Other,CRIMINAL
"PCDM,103,智易,56,20150119,1",Win,Other,CRIMINAL
"TYDM,102,桃智簡,38,20140424,1",Win,Other,CRIMINAL
"PCDM,109,智附民,20,20200604,1",Win,Mixed,CWC
"KSDM,103,智簡,59,20140516,1",Win,Other,CRIMINAL
"CHDM,105,審智簡,1,20160623,1",Win,Other,CRIMINAL
"SLDM,95,簡,696,20061229,1",Win,Other,CRIMINAL
"CYDM,111,智簡,22,20220624,1",Win,Other,CRIMINAL
"TPDM,109,智簡,59,20200731,1",Win,Other,CRIMINAL
"TPBA,92,訴,3789,20050406,3",Win,Mixed,ADMINISTRATIVE
"TYDM,109,智易,19,20201230,1",Lose,Other,CRIMINAL
"KSDM,91,訴,566,20020404,1",Win,Other,CRIMINAL
"TPDM,107,智簡,31,20180531,1",Win,Other,CRIMINAL
"KSDM,91,簡,1441,20021203,1",Win,Other,CRIMINAL
"TCDM,94,易,2121,20060209,1",Win,Other,CRIMINAL
"TYDM,102,桃智簡,7,20130307,1",Win,Other,CRIMINAL
"TCDM,100,智訴,31,20120109,1",Win,Other,CRIMINAL
"TCDM,101,智簡上,14,20121016,1",Win,Other,CRIMINAL
"KSDM,104,智簡,119,20160226,1",Win,Other,CRIMINAL
"PCDM,106,智簡,54,20170831,1",Win,Other,CRIMINAL
"CTDM,108,智簡,13,20190604,1",Win,Other,CRIMINAL
"PCDM,91,易,2552,20050722,1",Win,Other,CRIMINAL
"PCDM,92,易,1647,20030801,1",Win,Other,CRIMINAL
"CHDM,102,智簡,26,20131014,1",Win,Other,CRIMINAL
"HLDM,103,智易,2,20140902,1",Win,Other,CRIMINAL
"TNDM,100,智簡,59,20111207,1",Win,Other,CRIMINAL
"KMDM,106,智易,3,20180524,1",Lose,Other,CRIMINAL
"IPCV,98,民著訴,44,20100111,1",Win,Mixed,CIVIL
