dataset,leakage,feature,run,model,chi_square,best_c,test_accuracy,test_macro_f1,path
criminal_win_lose_mixed,no_leakage,bow,full_20260504_154912,Proposed MNIR + SVM,Yes,0.125,0.9251960971876794,0.3635510051993495,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\no_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
criminal_win_lose_mixed,no_leakage,bow,full_20260504_154912,BOW + SVM,No,0.0625,0.9487277597092022,0.5974701561288046,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\no_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
criminal_win_lose_mixed,no_leakage,bow,full_20260504_154912,Proposed MNIR + SVM,No,2.0,0.9259613545054524,0.3732518648485035,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\no_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
criminal_win_lose_mixed,no_leakage,tf,full_20260504_154912,TF + SVM,Yes,4.0,0.951406160321408,0.5772699607148786,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\no_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
criminal_win_lose_mixed,no_leakage,tf,full_20260504_154912,Proposed MNIR + SVM,Yes,0.0625,0.9338052420126268,0.3702189031543745,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\no_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
criminal_win_lose_mixed,no_leakage,tf,full_20260504_154912,TF + SVM,No,2.0,0.9512148459919648,0.5248173665923194,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\no_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
criminal_win_lose_mixed,no_leakage,tf,full_20260504_154912,Proposed MNIR + SVM,No,0.0625,0.9338052420126268,0.3444949430434071,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\no_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
criminal_win_lose_mixed,no_leakage,tfidf,full_20260504_154912,TFIDF + SVM,Yes,4.0,0.9426057011670174,0.5621741483872863,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
criminal_win_lose_mixed,no_leakage,tfidf,full_20260504_154912,Proposed MNIR + SVM,Yes,0.125,0.927683183470442,0.3902188337587152,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
criminal_win_lose_mixed,no_leakage,tfidf,full_20260504_154912,TFIDF + SVM,No,1.0,0.9462406734264396,0.583129340943092,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
