Dataset,dataset_slug,Leakage,Feature,Model,Chi-square setting,Best C,Test Accuracy,Test Macro F1,Path
Civil,civil_win_lose_mixed,no_leakage,TF-IDF,TFIDF + SVM,No chi-square,2.0,0.6840247131509267,0.4289142892626499,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
Civil,civil_win_lose_mixed,no_leakage,TF-IDF,Proposed MNIR + SVM,No chi-square,0.125,0.6699029126213593,0.2965761228038616,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
Civil,civil_win_lose_mixed,with_leakage,BoW,Majority Class,Baseline,,0.676081200353045,0.2689134632262594,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\with_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
Civil,civil_win_lose_mixed,with_leakage,BoW,BOW + SVM,Chi-square,0.5,0.6390114739629302,0.4077692708772442,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\with_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
Civil,civil_win_lose_mixed,with_leakage,BoW,Proposed MNIR + SVM,Chi-square,0.0625,0.6813768755516328,0.3387493259745615,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\with_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
Civil,civil_win_lose_mixed,with_leakage,BoW,BOW + SVM,No chi-square,0.5,0.6328331862312445,0.4346249468927635,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\with_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
Civil,civil_win_lose_mixed,with_leakage,BoW,Proposed MNIR + SVM,No chi-square,1.0,0.6857899382171226,0.3562335864011841,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\with_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
Civil,civil_win_lose_mixed,with_leakage,TF,Majority Class,Baseline,,0.676081200353045,0.2689134632262594,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\with_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
Civil,civil_win_lose_mixed,with_leakage,TF,TF + SVM,Chi-square,2.0,0.6804942630185349,0.4047312896632744,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\with_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
Civil,civil_win_lose_mixed,with_leakage,TF,Proposed MNIR + SVM,Chi-square,4.0,0.6928508384819064,0.3369742921454803,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\with_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
Civil,civil_win_lose_mixed,with_leakage,TF,TF + SVM,No chi-square,2.0,0.6866725507502206,0.4168659172289713,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\with_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
Civil,civil_win_lose_mixed,with_leakage,TF,Proposed MNIR + SVM,No chi-square,0.5,0.677846425419241,0.2877956115447483,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\with_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
Civil,civil_win_lose_mixed,with_leakage,TF-IDF,Majority Class,Baseline,,0.676081200353045,0.2689134632262594,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\with_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
Civil,civil_win_lose_mixed,with_leakage,TF-IDF,TFIDF + SVM,Chi-square,4.0,0.6707855251544572,0.4248405103668261,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\with_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
Civil,civil_win_lose_mixed,with_leakage,TF-IDF,Proposed MNIR + SVM,Chi-square,0.5,0.6946160635481023,0.3643839911249382,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\with_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
Civil,civil_win_lose_mixed,with_leakage,TF-IDF,TFIDF + SVM,No chi-square,1.0,0.6813768755516328,0.4095960239484579,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\with_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
Civil,civil_win_lose_mixed,with_leakage,TF-IDF,Proposed MNIR + SVM,No chi-square,2.0,0.676081200353045,0.3005907751949808,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\with_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
Criminal,criminal_win_lose_mixed,no_leakage,BoW,Majority Class,Baseline,,0.9343791850009566,0.3220255167639205,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\no_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
Criminal,criminal_win_lose_mixed,no_leakage,BoW,BOW + SVM,Chi-square,1.0,0.9525540462980676,0.5636816959952469,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\no_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
Criminal,criminal_win_lose_mixed,no_leakage,BoW,Proposed MNIR + SVM,Chi-square,0.125,0.9251960971876794,0.3635510051993495,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\no_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
Criminal,criminal_win_lose_mixed,no_leakage,BoW,BOW + SVM,No chi-square,0.0625,0.9487277597092022,0.5974701561288046,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\no_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
Criminal,criminal_win_lose_mixed,no_leakage,BoW,Proposed MNIR + SVM,No chi-square,2.0,0.9259613545054524,0.3732518648485035,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\no_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
Criminal,criminal_win_lose_mixed,no_leakage,TF,Majority Class,Baseline,,0.9343791850009566,0.3220255167639205,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\no_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
Criminal,criminal_win_lose_mixed,no_leakage,TF,TF + SVM,Chi-square,4.0,0.951406160321408,0.5772699607148786,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\no_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
Criminal,criminal_win_lose_mixed,no_leakage,TF,Proposed MNIR + SVM,Chi-square,0.0625,0.9338052420126268,0.3702189031543745,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\no_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
Criminal,criminal_win_lose_mixed,no_leakage,TF,TF + SVM,No chi-square,2.0,0.9512148459919648,0.5248173665923194,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\no_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
Criminal,criminal_win_lose_mixed,no_leakage,TF,Proposed MNIR + SVM,No chi-square,0.0625,0.9338052420126268,0.3444949430434071,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\no_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
Criminal,criminal_win_lose_mixed,no_leakage,TF-IDF,Majority Class,Baseline,,0.9343791850009566,0.3220255167639205,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
Criminal,criminal_win_lose_mixed,no_leakage,TF-IDF,TFIDF + SVM,Chi-square,4.0,0.9426057011670174,0.5621741483872863,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
Criminal,criminal_win_lose_mixed,no_leakage,TF-IDF,Proposed MNIR + SVM,Chi-square,0.125,0.927683183470442,0.3902188337587152,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
Criminal,criminal_win_lose_mixed,no_leakage,TF-IDF,TFIDF + SVM,No chi-square,1.0,0.9462406734264396,0.583129340943092,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
Criminal,criminal_win_lose_mixed,no_leakage,TF-IDF,Proposed MNIR + SVM,No chi-square,0.25,0.927683183470442,0.3718861607393,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
Criminal,criminal_win_lose_mixed,with_leakage,BoW,Majority Class,Baseline,,0.9343791850009566,0.3220255167639205,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\with_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
Criminal,criminal_win_lose_mixed,with_leakage,BoW,BOW + SVM,Chi-square,0.5,0.952745360627511,0.5641998644505914,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\with_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
Criminal,criminal_win_lose_mixed,with_leakage,BoW,Proposed MNIR + SVM,Chi-square,0.0625,0.9244308398699064,0.3603313320649586,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\with_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
Criminal,criminal_win_lose_mixed,with_leakage,BoW,BOW + SVM,No chi-square,0.0625,0.9481538167208724,0.594938891384597,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\with_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
Criminal,criminal_win_lose_mixed,with_leakage,BoW,Proposed MNIR + SVM,No chi-square,0.25,0.9246221541993496,0.367092591874312,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\with_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
Criminal,criminal_win_lose_mixed,with_leakage,TF,Majority Class,Baseline,,0.9343791850009566,0.3220255167639205,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\with_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
Criminal,criminal_win_lose_mixed,with_leakage,TF,TF + SVM,Chi-square,4.0,0.951980103309738,0.5263386753614343,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\with_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
Criminal,criminal_win_lose_mixed,with_leakage,TF,Proposed MNIR + SVM,Chi-square,0.5,0.9334226133537402,0.366934525782994,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\with_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
Criminal,criminal_win_lose_mixed,with_leakage,TF,TF + SVM,No chi-square,4.0,0.9510235316625216,0.5798042707713537,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\with_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
Criminal,criminal_win_lose_mixed,with_leakage,TF,Proposed MNIR + SVM,No chi-square,0.25,0.9347618136598432,0.3585787223587446,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\with_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
Criminal,criminal_win_lose_mixed,with_leakage,TF-IDF,Majority Class,Baseline,,0.9343791850009566,0.3220255167639205,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\with_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
