,Date,File,收盤價(元)
397,2022-05-24,o20220524.csv,15963.63
398,2022-05-25,o20220525.csv,16104.03
399,2022-05-26,o20220526.csv,15968.83
400,2022-05-27,o20220527.csv,16266.22
401,2022-05-30,o20220530.csv,16610.62
402,2022-05-31,o20220531.csv,16807.77
403,2022-06-01,o20220601.csv,16675.09
404,2022-06-02,o20220602.csv,16552.57
405,2022-06-06,o20220606.csv,16605.96
406,2022-06-07,o20220607.csv,16512.88
407,2022-06-08,o20220608.csv,16670.51
408,2022-06-09,o20220609.csv,16621.34
409,2022-06-10,o20220610.csv,16460.12
410,2022-06-13,o20220613.csv,16070.98
411,2022-06-14,o20220614.csv,16047.37
412,2022-06-15,o20220615.csv,15999.25
413,2022-06-16,o20220616.csv,15838.61
414,2022-06-17,o20220617.csv,15641.26
415,2022-06-20,o20220620.csv,15367.58
416,2022-06-21,o20220621.csv,15728.64
417,2022-06-22,o20220622.csv,15347.75
418,2022-06-23,o20220623.csv,15176.44
419,2022-06-24,o20220624.csv,15303.32
420,2022-06-27,o20220627.csv,15548.01
421,2022-06-28,o20220628.csv,15439.92
422,2022-06-29,o20220629.csv,15240.13
423,2022-06-30,o20220630.csv,14825.73
424,2022-07-01,o20220701.csv,14343.08
425,2022-07-04,o20220704.csv,14217.06
426,2022-07-05,o20220705.csv,14349.2
427,2022-07-06,o20220706.csv,13985.51
428,2022-07-07,o20220707.csv,14336.27
429,2022-07-08,o20220708.csv,14464.53
430,2022-07-11,o20220711.csv,14340.53
431,2022-07-12,o20220712.csv,13950.620000000003
432,2022-07-13,o20220713.csv,14324.68
433,2022-07-14,o20220714.csv,14438.52
434,2022-07-15,o20220715.csv,14550.62
435,2022-07-18,o20220718.csv,14719.64
436,2022-07-19,o20220719.csv,14694.08
437,2022-07-20,o20220720.csv,14733.22
438,2022-07-21,o20220721.csv,14937.7
439,2022-07-22,o20220722.csv,14949.36
440,2022-07-25,o20220725.csv,14936.33
441,2022-07-26,o20220726.csv,14806.78
442,2022-07-27,o20220727.csv,14921.59
443,2022-07-28,o20220728.csv,14891.9
444,2022-07-29,o20220729.csv,15000.07
445,2022-08-01,o20220801.csv,14981.69
446,2022-08-02,o20220802.csv,14747.23
447,2022-08-03,o20220803.csv,14777.02
448,2022-08-04,o20220804.csv,14702.2
449,2022-08-05,o20220805.csv,15036.04
450,2022-08-08,o20220808.csv,15020.41
451,2022-08-09,o20220809.csv,15050.28
452,2022-08-10,o20220810.csv,14939.02
453,2022-08-11,o20220811.csv,15197.85
454,2022-08-12,o20220812.csv,15288.97
455,2022-08-15,o20220815.csv,15417.35
456,2022-08-16,o20220816.csv,15420.57
457,2022-08-17,o20220817.csv,15465.45
458,2022-08-18,o20220818.csv,15396.76
459,2022-08-19,o20220819.csv,15408.78
460,2022-08-22,o20220822.csv,15245.14
461,2022-08-23,o20220823.csv,15095.89
462,2022-08-24,o20220824.csv,15069.19
463,2022-08-25,o20220825.csv,15200.04
464,2022-08-26,o20220826.csv,15278.44
465,2022-08-29,o20220829.csv,14926.19
466,2022-08-30,o20220830.csv,14953.63
467,2022-08-31,o20220831.csv,15095.44
468,2022-09-01,o20220901.csv,14801.86
469,2022-09-02,o20220902.csv,14673.04
470,2022-09-05,o20220905.csv,14661.1
471,2022-09-06,o20220906.csv,14677.2
472,2022-09-07,o20220907.csv,14410.05
473,2022-09-08,o20220908.csv,14583.42
474,2022-09-12,o20220912.csv,14807.43
475,2022-09-13,o20220913.csv,14894.41
476,2022-09-14,o20220914.csv,14658.31
477,2022-09-15,o20220915.csv,14670.04
478,2022-09-16,o20220916.csv,14561.76
479,2022-09-19,o20220919.csv,14425.68
480,2022-09-20,o20220920.csv,14549.3
481,2022-09-21,o20220921.csv,14424.52
482,2022-09-22,o20220922.csv,14284.629999999997
483,2022-09-23,o20220923.csv,14118.379999999997
484,2022-09-26,o20220926.csv,13778.19
485,2022-09-27,o20220927.csv,13826.59
