TrmTerm(法律名詞),TrmContent(解釋),JtIds(M：刑事、F：家事、G：一般、V：民事、A：行政)
質言之,簡言之,G             
原創性,著作權法保護的著作，是指著作人的精神創作成果，只要著作人獨立完成，而不是抄襲或剽竊而來，且依照社會一般人的觀念，該創作成果與現存的作品有區別，可以表現著作人的個性，就具有原創性，可以成為著作權法保護的著作。,V             
偽造有價證券罪,所謂的有價證券，是指具有一定價格並可表彰特定財產權的書面憑證，例如股票、債券及支票等。偽造有價證券罪規定在刑法第201條第1項，是指不具有製作有價證券權限的人，為了行使該有價證券之用，冒用他人名義虛偽製作。觸犯本項犯罪，可以判處3年以上10年以下有期徒刑，並得一併科處新臺幣9萬元以下罰金刑。,M             
觀念通知,指行政機關認知表示，欠缺法效性之行為，例如：官署就某事件通知處理之經過與情形，並未損及當事人任何權益，乃屬純粹之觀念通知，與行政處分並不相同。惟在某些情況，二者之區別並非容易。,A             
判決之確定,"敗訴的當事人不能依上訴程序對判決聲明不服，而處於不能廢棄（民事）或變更之狀態。判決確定後，當事人得向法院聲請核發「判決確定證明書」（民事訴訟法第399條）。
",V             
牽連犯,數個犯罪行為如果具有方法、目的，或是原因、結果的關係，行為人就會成立牽連犯，而依最重的罪名來處斷。例如，甲拿改造手槍射殺乙，甲觸犯了殺人罪及持有改造手槍罪，應依最重的殺人罪名來處斷。,M             
情堪憫恕,"「情堪憫恕」是法官在考量是否要將被告的犯罪行為減刑，甚至免刑時，所審酌的因素。一般是指被告犯罪情狀非常輕微，足以引起一般人的同情而言。法官如認宣告法律規定的最低刑度，仍然過重時，可依刑法第59條或第61條規定減輕或免除其刑。

",G             
尚難謂非,並非、似乎不是沒有、可說是、(建議避免使用雙重否定用語),G             
減俸,"「減俸」依公務員懲戒法第9條第1項第6款規定，為該法所定公務員懲戒處分之一種，依同法第16條規定：「減俸，依受懲戒人現職之月俸（薪）減百分之十至百分之二十支給；其期間為六個月以上、三年以下。自減俸之日起，一年內不得晉敘、陞任或遷調主管職務。」

",A             
特別損失,司法院釋字第670號解釋理由書意旨：「人民受憲法第15條保障之財產權，因公益需要而受特別犧牲者，應由國家依法律予以補償，......特定人民身體之自由，因公共利益受公權力之合法限制，諸如羈押、收容或留置等，而有特別情形致超越人民一般情況下所應容忍之程度，構成其個人之特別犧牲者，自應有依法向國家請求合理補償之權利，以符合憲法保障人民身體自由及平等權之意旨。」同理，人民因執行機關依法實施「即時強制」，致其生命、身體或財產遭受特別損失時，可以依行政執行法第41條規定，請求補償。但若是因可歸責於他的事由所發生的，就不可以請求。且其損失應以金錢補償，並只能補償實際所受的特別損失。另要特別說明的是，行政法上的損失補償與損害賠償不同，前者是以合法行為為前提；後者則是對違法行為所生的賠償，屬於侵權行為的損害賠償。,A             
婚約,"婚約是男女當事人約定將來應互相結婚的契約(請參考民法第972條規定、最高法院32年上字第130號民事判例)。
",F             
原告之訴駁回,法官審理訴訟事件，認為原告的請求沒有理由，不應准許時，所為的判決結論。,F             
執行業務所得,舉凡律師、會計師、建築師、技師、醫師、藥師、助產士、著作人、經紀人、代書人、工匠、表演人及其他以技藝自力營生者之業務或演技收入，減除業務所房租或折舊、業務上使用器材設備之折舊及修理費，或收取代價提供顧客使用之藥品、材料等之成本、業務上雇用人員之薪資、執行業務之旅費及其他直接必要費用後之餘額，即為執行業務所得（所得稅法第11條第1項、第14條第1項第二類）。,A             
變形工時,勞工正常工作時間每天不得超過8小時，每週不得超過40小時。勞工繼續工作4小時，至少應該有30分鐘的休息。但為了因應各行各業不同的營運型態，勞動基準法第30條、第30條之1另訂有彈性工時制度，允許在符合一定要件下，可重新分配勞工的正常工作時間，就是「變形工時」。,A             
積極訴訟要件,"一個訴訟的提起是否合法，要看是否符合提起訴訟的各種條件。這些條件可以分成「積極訴訟要件」與「消極訴訟要件」。
積極訴訟要件：必須要具備某種事實或關係，才可以合法進行訴訟。例如提起自訴的被害人必須是直接被害人、受理的法院對這個案子必須有審判權限。
消極訴訟要件：一定不能有某種事實或關係，才可以合法進行訴訟。例如這個案件一定是還沒超過追訴權時效、沒有被大赦的案件。",M             
即時強制,行政機關為阻止犯罪、危害之發生或避免急迫危險，如果等待行政處分作成後，再依一般程序予以執行，勢將緩不濟急，故依行政執行法之規定，在法定方法範圍內，得採取必要之措施。,A             
陷於錯誤,詐欺取財罪之成立，係以行為人具不法意圖，施用詐術使被害人陷於錯誤，被害人基此錯誤而處分其財產，致受損害，為其構成要件。所謂錯誤，是指被害人對於判斷是否處分或交付財物的重要事項發生誤認，亦即假如被害人知悉真實情形，依社會通念，必不願交付財物。,M             
暴利行為,暴利行為係指在主觀上乘他人急迫、輕率、無經驗，而在不注意、沒有深思熟慮之情況下，而為顯失公平的財產上給付或給付約定之行為。暴利行為，依民法第74條規定，當事人或利害關係人可以在一年內聲請法院撤銷其行為或減輕給付。,V             
自承,自己承認,G             
斲傷,嚴重傷害的意思。,G             
不與焉,沒有包含在裏面的意思。,A             
退票,執票人向票據付款人提示所持有之票據，經付款人拒絕兌付而不獲付款之情形。實務上常見的退票理由，包含發票人在所委託為擔當付款人的金融業者帳戶中存款不足，或經票據交換所列報為拒絕往來戶等。,V             
訴訟繫屬,所謂訴訟繫屬，簡單的說，就像醫院的「掛號」，是指一個行政訴訟事件已經在行政法院「掛號」，等待行政法院審理。訴訟繫屬以原告提起訴訟開始，以行政法院作成裁判、當事人和解、原告撤回訴訟終結。原告提起訴訟之後，會產生一個行政訴訟事件繫屬在行政法院，行政法院必須加以審理，並依法作成決定（判決或裁定）。,G             
檢察事務收回權,檢察首長得依法律，將其監督指揮之檢察官偵辦特定案件的權利收回。,M             
析言,詳細地說。,A             
略以,大致如下、重點如下、摘要如下,G             
教示條款,指法律規定民事、刑事及行政訴訟判決書應載明的告知條款，使當事人得以清楚明白可行的救濟途徑及法律效果。例如民事訴訟法第229條第3項規定：「對於判決得上訴者，應於送達當事人之正本內，記載其期間及提出上訴狀之法院。」、刑事訴訟法第314條第1項規定：「判決得為上訴者，其上訴期間及提出上訴狀之法院，應於宣示時一併告知，並應記載於送達被告之判決正本。」、行政訴訟法第210條第3項規定：「對於判決得為上訴者，應於送達當事人之正本內告知其期間及提出上訴狀之行政法院。」此外，教示條款也包括行政機關對相對人的行政處分，所為救濟途徑的告知條款。包括：表明行政處分的意旨，以及不服行政處分之救濟方法、期間及其受理機關。,G             
內部性界限,在數罪併罰，定其應執行刑之案件，法院所為刑之酌定，應受外部性界限及內部性界限之拘束。依據法律之具體規定，法院應在刑法第51條各款所定範圍內選擇為適當之裁判者，為外部性界限；另法院為裁判時，應考量法律之目的及法律秩序之理念所在者，為內部性界限。,M             
矢口否認,被告否認犯罪，但與事實不符，不被採納。,M             
職權裁定迴避,法院或院長認為法官有應該自行迴避之原因，然而法官沒有自行迴避的時候，就算當事人沒有聲請，或聲請不合法，還是可以主動依職權裁定命法官迴避。,M             
確定判決,依法已無法提起上訴的判決。判決一經確定，除有再審或提起第三人撤銷訴訟之事由外，任何人都無法變更判決結果。,V             
會同開具財產清冊之人,在監護宣告事件中，監護人對受監護人的財產管理，如果監護人沒有盡到責任，有賠償的問題，所以法律要求監護人要製作一份財產清冊呈報到法院存查。為了防止監護人監守自盜或是輕率浮濫，法院會再指定一個「會同開具財產清冊之人」，來監督監護人如實製作財產清冊，監護人必須得到這個人會同檢查核對無誤，才能將財產清冊呈報到法院，完成法定程序。,F             
一事不二罰原則,"一個行為違反數個行政法上的義務規定，或一個行為同時違反刑事法律和行政法上的義務規定時，為維護法律秩序的安定，避免產生過苛的情形，禁止國家依不同的法律或規定進行多次的處罰（行政罰法第24、26條）。
例如：在防制區內的道路兩旁燃燒物品，產生明顯濃煙，妨礙行車視線，除了違反空氣污染防制法第31條第1項第1款規定，依同法第60條可處包含罰鍰的行政罰外，同時也符合道路交通管理處罰條例第82條第1項第2款的處以罰鍰規定，但因為只有一個行為，故最後只可以裁處1個罰鍰。",A             
公共危罪,刑法第11章「公共危險罪」，規定於刑法第173條至第194條，含放火或失火燒燬現住建築物及交通工具罪、放火失火燒燬非現住建築物及交通工具罪、放火燒燬住宅等以外之物罪、準放火罪、漏逸或間隔氣體罪、決水浸害現供人使用之住宅或現有人所在之建築物及交通工具罪、決水浸害現非供人使用之住宅或現未有人在之建築物罪、決水浸害住宅等以外之物罪、破壞防水蓄水設備罪、妨害救災罪、傾覆或破壞現有人所在之交通工具罪、妨害舟車及航空機行駛安全罪、妨害公眾往來安全罪、劫持交通工具之罪、危害毀損交通工具之罪、重大違背義務致交通危險罪、肇事遺棄罪、單純危險罪、不法使用爆裂物及其加重結果犯、加重危險物罪、不法使用核子原料等物之處罰、放逸核能、放射線致生公共危險之處罰、無正當理由使用放射線之處罰、妨害公用事業罪、損壞保護生命設備罪、危害公共場所內保護生命設備之處罰、阻塞逃生通道之處罰、妨害公眾飲水罪、流放毒物罪及加重結果犯、製造販賣陳列妨害衛生物品罪、違背預防傳染病法令罪及散布傳染病菌罪、違背建築術成規罪、不履行賑災契約罪等。,M             
臨檢,警察於公共場所或指定處所、路段，由服勤人員擔任臨場檢查或路檢，執行取締、盤查或有關法令賦予之勤務。,M             
FRAND,"Fair, Reasonable And Non-Discriminatory，簡稱 FRAND，常見於專利領域，是指標準制定組織針對標準必要專利（Standard Essential Patent，SEP）所訂定的授權要件，必須公平、合理且無歧視性。",A             
容忍授權,容忍授權，是指本人明知他人是無權代理，卻不為反對的意思表示，而消極容任該無權代理人行使本人從未授與的代理權。一旦相對人是出於善意且無過失，信賴本人有容忍授權的事實，進而與該無代理權人從事法律行為時，為保護交易安全，本人應對第三人負起授權人的責任。,V             
從一重處斷,依刑法第55條規定「一行為而觸犯數罪名者，從一重處斷。但不得科以較輕罪名所定最輕本刑以下之刑。」係指當想像競合犯之情形，行為人同時犯多數罪名時，不能各罪重複處罰，而應擇其中最重罪處罰之。,M             
免稅額,"   「免稅額」是計算稅捐負擔之減項。以綜合所得稅為例，依所得稅法第13條規定，個人之綜合所得稅，是就綜合所得淨額課徵之，而綜合所得淨額的計算，是以個人所得總額減除免稅額及扣除額。
   所得稅法於第17條規定免稅額扣除，是為了反應一個社會中維持個人物理生存的最低額度，扣除後才能正確衡量納稅義務人真正的稅捐負擔能力。依現行規定，108年度綜合所得稅結算申報，年滿70歲之納稅義務人、配偶及申報受扶養直系尊親屬，每人免稅額新臺幣（下同）132,000元，其餘申報受扶養親屬及未滿70歲的納稅義務人、配偶每人免稅額88,000元，並得列報大陸地區扶養親屬免稅額。    ",A             
沒入保證金,規定於刑事訴訟法第118條第1項「具保之被告逃匿者，應命具保人繳納指定之保證金額，並沒入之。不繳納者，強制執行。保證金已繳納者，沒入之。」。,M             
不能安全駕駛罪,為刑法之罪名，規定於刑法185條之3：「（第1項）駕駛動力交通工具而有下列情形之一者，處二年以下有期徒刑，得併科二十萬元以下罰金：一、吐氣所含酒精濃度達每公升零點二五毫克或血液中酒精濃度達百分之零點零五以上。二、有前款以外之其他情事足認服用酒類或其他相類之物，致不能安全駕駛。三、服用毒品、麻醉藥品或其他相類之物，致不能安全駕駛。（第2項）因而致人於死者，處三年以上十年以下有期徒刑；致重傷者，處一年以上七年以下有期徒刑。」,M             
當事人主義,當事人主義是指訴訟程序的開啟、進行與結束，由訴訟當事人決定與主導，法官僅為中立的裁判者。特別是關於證據調查程序，須由當事人負責證據的準備與提出，法院不能於當事人聲請調查的證據範圍以外，依職權主動蒐集或調查證據。然因行政訴訟涉及公益，為保障人民權益、維護公益以及貫徹行政行為合法性的審查，行政訴訟是採取與當事人主義相對的職權調查主義，依行政訴訟法第125條第1項、第133條及第134條規定，行政法院負有查明事實的義務，應依職權調查證據，不受當事人事實主張及證據聲請的拘束。,A             
附麗,依據。,A             
發回續查,偵查中程序作為之一種，規定於刑事訴訟法第258條第1款，於告訴人依法對不起訴或緩起訴處分書聲請再議，或檢察官依職權逕送再議之情形，上級檢察署檢察長或檢察總長認為再議有理由，惟偵查未完備者，得命令原檢察署檢察官續行偵查。,M             
任意性自白,被告的自白是出於自願，而不是被不正當方法所迫。,M             
喻知,如果是「諭知」，是指告知、宣告的意思。,F             
宣傳療效,宣傳療效是指宣傳醫療效能。為維護消費者的健康及權益，食品安全衛生管理法第28條第2項嚴禁食品為醫療效能的標示、宣傳或廣告。所謂宣稱醫療效能，包含宣稱預防、改善、減輕或治療疾病或特定生理情形（例如治療近視、治失眠、防止貧血、降血壓、防止更年期的提早），以及宣稱減輕或降低導致疾病有關的體內成分（例如解肝毒、降肝脂）等情形。,"V,A           "
法官保留,"法官保留原則，是指限制人民基本權利之重要特定事項的作為，由立法者制定法律規定，保留由法官審查准許始得行使之原則。
刑事訴訟之審判，即屬於憲法（憲法第77條、第8條第1項參照）所定之法官保留事項。強制處分之羈押（刑事訴訟法第101條）、搜索（刑事訴訟法第128條第3項），也是基於保障個人基本權利，採行法官保留原則的立法。",M             
跡其所為,探究他的行為。,G             
繼承權喪失事由,如果繼承人做了一些很不好的事情，比方說，把父母給殺死了，那麼法律就取消他繼承父母遺產的權利。喪失繼承權的事由有很多種，可以查閱民法第1145條的規定。,F             
上訴不可分,指判決的各部分在審判上無從分割(例如實質上一罪、裁判上一罪等均屬之)，因一部上訴而其全部必受影響者而言。例如 : 法院於審理時，認為甲犯了A罪刑與B罪刑屬同一事件，則於上訴時不可只上訴A犯罪事實，必須將B犯罪事實一同上訴。,M             
形成之訴,"原告請求法院以判決直接宣告法律關係創設（發生）、變更或消滅的訴訟。例如：撤銷調解之訴、再審之訴、第三人撤銷之訴、債務人異議之訴、撤銷婚姻之訴、撤銷收養之訴、離婚之訴、否認子女之訴等。
",V             
爰,經、因此、所以、於是（虛詞，可省略）,V             
委無憑採,確實不能據以採信。,A             
行政程序,行政機關執行行政任務的過程中，必須在行政內部或對外界的人民作成許多行政行為，而行政機關行使公權力，作成行政處分、締結行政契約、訂定法規命令與行政規則、確定行政計畫、實施行政指導及處理陳情等行為的程序，即行政程序（行政程序法第2條第1項）。,A             
異議人,對於某事項的處理不服的人（相關規定如：強制執行法第39條第2項、第40條之1第2項、第41條第1項、非訟事件法第97條第3項、公證法第17條第2項、消費者債務清理條例第36條第2項、祭祀公業條例第12條第3項、第13條第1項、商標法第49條第2項、森林法第29條等）。,V             
如易服勞役,指被宣告罰金刑，其無力完納者，得以新臺幣一千元、二千元或三千元折算一日而以勞役折抵罰金之制度，詳見刑法第42條之規定。,M             
窺視非公開活動罪,為保障隱私權，刑法第315條之1第1款規定，無故利用工具或設備（如望遠鏡）窺視、竊聽他人非公開之活動、言論、談話或身體隱私部位者，構成「窺視竊聽罪」；如以錄音、照相、錄影等方式竊錄者，則構成同條第2款之「竊錄罪」。以上行為最高可處3年以下有期徒刑。,M             
似有未合,似乎並不符合的意思。,F             
查封,為保全債權人債權的實現，執行法院限制債務人對於執行標的物的處分權的一種執行行為。,V             
延長羈押,有繼續羈押之必要者，於羈押期間未滿前，經法院依刑事訴訟法第一百零一條或第一百零一條之一之規定訊問被告後，以裁定延長羈押期間。,M             
違誤,背反、差錯。,A             
正當性,合法性基礎,A             
執行力,法院得據以強制執行的效力，即執行力。強制執行係執行債權人聲請法院以「強制」方式「實現」其權利。例如確定判決有關命債務人之給付，債權人即得持確定判決為執行名義，聲請法院對債務人為強制執行，此即為確定判決之執行力。,V             
亟待審理,迫切等待審理。,A             
承攬,指當事人約定，由一方為他方完成一定的工作後，他方給予報酬的契約（民法第490條第1項）。例如：甲與乙約定，甲為乙蓋一棟房子，等到甲把房子蓋好以後，乙再給甲500萬元的報酬。,V             
反訴,反訴，係自訴被告以自訴人為被告而提起的訴訟，乃是利用自訴程序而提起，故又稱為反自訴。反訴本來可以獨立提起，但為了審判上的便宜性，所以法律上允許自訴被告利用自訴程序提起反訴，因此，反訴與自訴無異，凡是自訴應該具備的要件，反訴也必須要具備。,M             
形成判決,"原告請求法院以判決直接宣告法律關係創設（發生）、變更或消滅，如果原告勝訴，該判決就是形成判決。形成判決一經確定，就發生法律狀態變動的效果。例如：原告訴請離婚的判決確定，不待辦理離婚登記，就發生婚姻關係消滅的效果。
",V             
遷讓房屋,指要求現在占有使用房屋的人遷出房屋，將該房屋交還權利人（如：所有人、出租人、出借人等）。,V             
證據證明力,指證據能夠證明一個事實到什麼程度。當證明力越高，表示這個事實就越可能是真的。,M             
損失補償,行政法上的損失補償，指行政機關合法實施公權力，造成人民的生命、身體或財產遭受損失，已經超過人民應盡的社會義務時，國家就應該依法給予人民合理的補償，才符合公平原則。,A             
監聽譯文,將監聽所聽到的內容，用文字的方式逐句逐字記錄下來的書面資料。,M             
著作的合理使用,著作之合理使用，不構成著作財產權之侵害。著作之利用是否合於著作權法第44條至第63條所定之合理範圍或其他合理使用之情形，應審酌一切情狀，尤應注意下列事項，以為判斷之基準：一、利用之目的及性質，包括係為商業目的或非營利教育目的。二、著作之性質。三、所利用之質量及其在整個著作所占之比例。四、利用結果對著作潛在市場與現在價值之影響（著作權法第65條第1、2項規定）。綜觀著作權法第44條至第63條條文，有些條文中沒有「合理範圍」文句，例如第49條（以廣播、攝影、錄影、新聞紙、網路或其他方法為時事報導者，在報導之必要範圍內，得利用其報導過程中所接觸之著作）、第61條（揭載於新聞紙、雜誌或網路上有關政治、經濟或社會上時事問題之論述，得由其他新聞紙、雜誌轉載或由廣播或電視公開播送，或於網路上公開傳輸。但經註明不許轉載、公開播送或公開傳輸者，不在此限），屬於豁免規定，是對於限定的特殊利用著作情形，明確正面的肯認其合法性，由於適用的情形已有所限定並且要件設定明確，是故無須再以前述四項合理使用中的權衡要素予以再次評價。反之，著作權法第44條至第63條條文中有「合理範圍」文句或其他合理使用之情形，則須依前述四項基準審視之。,A             
拘留,屬拘束人身自由的行政罰，例如社會秩序維護法第19條第1項第1款「拘留：一日以上，三日以下；遇有依法加重時，合計不得逾五日。」。,M             
裁定管轄,刑事訴訟法第9條第1項規定：有左列情形之一者，由直接上級法院以裁定指定該案件之管轄法院：一、數法院於管轄權有爭議者。二、有管轄權之法院經確定裁判為無管轄權，而無他法院管轄該案件者。三、因管轄區域境界不明，致不能辨別有管轄權之法院者。第2項規定：案件不能依前項及第五條之規定，定其管轄法院者，由最高法院以裁定指定管轄法院。,M             
毫無所悉,一點都不知道,G             
可追訴性,係指在追訴權時效內之犯罪行為，仍具有受刑事追訴之可能性。反之，如犯罪之追訴時效已完成者，偵查中檢察官應予以不起訴處分，審判中法院則應諭知免訴判決，該等追訴權時效已經完成之犯罪，就不具有可追訴性。,M             
上訴駁回,上級審認為上訴人提起的上訴不合法或無理由，而維持原審判決結果。,V             
要屬無據,難以採信、不可採信、沒有依據,G             
顯係違誤,顯然是錯誤。,A             
秩序行政,"又稱干預行政、干涉行政、侵害行政、規制行政，指行政機關為維護公共安全及社會秩序，採取命令、禁止、干涉、取締等抽象或具體的行政行為，及必要時使用強制手段，來防止危險發生或排除侵害，致力於創設良好的公共秩序為目的的行政，對外表現方式多屬負擔的行政處分，因為會對受干預的對象直接限制其自由或權利，所以應受較嚴格的法律羈束（限制）。
例如：道路交通行政（對於道路交通的管制及違規者的裁罰）。",A             
亦非不能,可以,G             
關聯法則,以行為人之手段與目的間是否具有關聯性，及其手段與目的間之關聯性是否具有可非難性，來作為強制行為實質違法性之判斷基準。,M             
旋,不久,G             
特別措施法,"對於非正常狀況下所為的特別法律規範，為日本法律用語所常見。
例如：日本該國所制定的「再生能源特別措施法」、「地震防災對策特別措施法」、「反恐特别措施法」等法律。",A             
誠實信用原則,行政法上的一般法律原則之一，行政程序法第8條規定「行政行為，應以誠實信用之方法為之，並應保護人民正當合理之信賴。」則將該原則予以明文化。,A             
業務過失致死罪,為刑法之罪名，規定於刑法第276條第2項：「從事業務之人，因業務上之過失犯前項之罪者，處五年以下有期徒刑或拘役，得併科三千元以下罰金。」,M             
文義解釋,指依照法律條文的字義或文義而為解釋。因為成文法既然是藉由文字來表現，則文字的意義，就是法規的意義，解釋文字就是在解釋法規。,M             
抑留或剋扣款物罪,規定於刑法第129條第2項：「公務員對於職務上發給之款項、物品，明知應發給而抑留不發或剋扣者，亦同。」且依同條第3項，處罰未遂犯。實務見解認為，直接被害人為公務機關之公信力，至於得受領應發給之款項、物品之人，乃間接被害人。,M             
禁戒,"解釋一：為保安處分之類型，規定於刑法第88條、第89條，針對施用毒品成癮或因酗酒以致犯罪，且已酗酒成癮及有再犯之虞者，基於維護社會公共安全之立場，施以禁戒。
解釋二：對於毒品成癮（88條）或酗酒成癮（89條）之犯罪人，強制其進入一定處所，進行禁戒之處分。另作為本處分的特別規定，有毒品危害防制條例，凡五年內犯或再犯施用第一、二級毒品的行為人，應先令其進入勒戒處所進行觀察勒戒二個月，如無繼續施用毒品傾向時，應即釋放，並為不起訴之處分或不付審理之裁定（少年犯罪）；如仍有繼續施用毒品傾向時，檢察官應聲請法院裁定或由少年法院（地方法院少年法庭）裁定令入戒治處所強制戒治，其期間為六個月以上，最長一年。",M             
勞僱,指勞動關係或僱傭關係中之勞工、受僱人一方。,V             
明確性原則,"指法律、法規命令、行政規則、行政處分、行政契約及行政指導等行政行為，其內容應具體明確，使人容易明瞭。
例如：法律規定涉及人民權利義務時，該規定的內容必須明確，有清楚的界限及範圍，就是法律的構成要件和法律效果應該明確，不可以只規定違反某規定的話要處罰，卻沒有規定處罰的內容。",A             
工作許可,工作的允許、同意。例如：就業服務法第43條規定，除該法另有規定外，外國人未經雇主申請許可，不得在中華民國境內工作。,A             
應繼分,當一個人死亡後，法律有規定什麼資格的繼承人，可以分到多少比例的遺產，這就是應繼分。,F             
訴訟主體性,刑事訴訟主體指訴訟程序上之檢察官、被告、自訴人。而訴訟主體性指參與程序的人所擁有的主動、積極及自我決定的地位。,M             
分配表異議之訴,債權人或債務人對於強制執行的分配結果（分配表）表示不服（聲明異議），但其他人不認同其聲明異議。此時該表示不服的債權人或債務人，為了請求法院更正分配表中有爭議的金額或分配順序，而提起的訴訟。,V             
可歸責事由,指對於損害或結果的發生，有應歸咎的原因存在。現行民法採取過失責任主義（民法第220條第1項）從民事責任歸責的角度，所謂可歸責事由，原則上是指抽象過失而言。例如：民法第225條、第226條、第227條均規定債務人就債務不履行有可歸責事由時，始負損害賠償責任。,V             
保稅區,依加值型及非加值型營業稅法（下稱營業稅法）第5條及第6條之1規定，保稅區是指政府核定的加工出口區、科學工業園區、農業科技園區或自由貿易港區，以及海關管理的保稅工廠、保稅倉庫、物流中心或其他經目的事業主管機關核准設立且由海關監管的專區。保稅區營業人把保稅貨物自國外進入上述專區，都不會視為進口，而不用課徵營業稅。但若保稅區營業人將保稅貨物自保稅區進入中華民國境內的其他應稅地區，應屬進口貨物，除符合營業稅法第9條規定免徵營業稅外，須由海關代徵應徵收的營業稅。,A             
心證,法官對於提出於法庭的物證、證人的證詞，評價是否可以證明事實存在或可以證明之程度。,G             
武器對等性,當事人於訴訟程序上，得以立於實質對等的地位進行攻擊、防禦，如此才能實現公平審判。刑事訴訟程序中，檢察官行使偵查及訴追犯罪的國家公權力，具有相當的偵查資源，因此常必須注意在制度上如何充分保障被告防禦權，以確保程序上檢辯雙方的武器平等。,M             
非常上訴書,檢察總長用以敘述理由並向最高法院提起非常上訴之文書。,M             
本件抛棄繼承淮予備查,當事人提出的拋棄繼承資料，法院形式上審核符合法律規定，而准許把拋棄繼承的資料存檔，可供將來查驗的意思。,F             
諭知,法官開庭時當庭將某一決定內容告訴在庭之人的意思。如開庭時，法官告訴在庭被告，應於三日內提出驗傷單。,M             
重婚罪,重婚是指在單配偶制制度下，已有配偶的人而又與他人結婚，或同時與超過一人結婚。依據刑法第237條規定，有配偶而重為婚姻或同時與二人以上結婚者，處五年以下有期徒刑。,M             
分割遺產,一個人死亡以後，他的財產就會變成遺產，屬於全部的繼承人所公同共有。公同共有財產如果要處理，需要全部公同共有人同意才可以，有時候很麻煩。所以把全部遺產分成一份一份給繼承人個別所有，是有必要的事情。原則上，繼承人應該要自己協議來分配遺產，如果不能協議，任何一個繼承人都可以向法院請求分割遺產。,F             
謙抑原則,因為刑罰對於人民權利的剝奪是很嚴重的，因此國家應該盡量避免用刑罰施加於人民，如果可以用其他方式代替刑罰的效果，就應該優先用那種方式，而非刑罰。,M             
法官心證,法官綜合證據調查及全辯論意旨，最後認定的結果。,F             
股別,請參考「馨股」的解釋。,F             
隔離訊問,當證人或被告有數人的情形下，訊問其中一名證人或被告時，命其他證人或被告不得在場，這種訊問方式稱為隔離訊問。例如，證人有甲、乙、丙3人，訊問甲的時候，命乙、丙在庭外等候，不得在場。,M             
租稅法律主義,國家要求人民負擔繳納稅捐的義務、或給人民減免稅捐的優惠時，必須用法律來規定租稅主體、租稅客體、租稅客體對租稅主體的歸屬、稅基、稅率、納稅方法、納稅期間等繳納稅款的條件（憲法第19條、司法院釋字第685號解釋理由書）。主管機關因法律概括授權所訂定的施行細則，只能就實施母法所定納稅義務及其要件有關事項加以規範，不得另為增減，否則即違反租稅法律主義。例如：有中華民國來源所得的個人，是依照「所得稅法」的法律規定，要繳納綜合所得稅。,A             
預見可能性,指行為人對於某個結果的發生有無事先預想到的可能性。,M             
人身自由,人身自由指的是身體行動或不行動不受國家非法干預的自由，在我國是受到憲法第8條明文的保障。人身自由是憲法上其他自由的前提，換句話說，人民如果遭到國家非法的逮捕及拘禁，也就形同喪失了諸如言論、集會或秘密通訊等的自由。,M             
有不安之狀態,有被否定的危險,G             
聲請狀,記載聲請人的請求主張並提出到法院的書狀，聲請事項原則可以言詞或書狀提出於法院（民事訴訟法第122條第1項），但法律規定僅能以書狀為之者，如聲請再審（民事訴訟法第507條、第501條第1項），如未提出聲請狀，即不生聲請再審之效力。在司法院網站有提供相關聲請狀參考範例(網址http://www.judicial.gov.tw/assist/assist03.asp）,V             
行政助手,"於行政機關執行特定行政任務時，受行政機關的委託，給予協助，並且依其指示完成任務的自然人。行政助手的行為結果雖歸屬於行政機關，但由於行政助手並無公權力，無法代表公權力獨立作成處分，亦無法單獨與第三人發生法律關係。
例如：警察指揮民間拖吊業者拖吊違規車輛，該民間業者是「行政助手」。",A             
債權憑證,債權人的債權經由執行程序仍無法全部獲得滿足，債權人聲請由執行法院發給的證明文件。將來如果債權人發現債務人有其他財產可以執行時，可以直接根據該證明文件向法院聲請強制執行， 而不需另外繳納執行費用。,V             
證據排除法則,以不符合法律程序或違法的手段所取得的證據，法院就不能採用，就算這證據很重要、能證明犯罪事實也一樣。這是避免任何一方用不正當的方式進行訴訟的重要手段。,M             
行政自我拘束,行政機關對於某類事件反覆為相同處理時，將產生行政先例（又稱行政慣行）。基於憲法上平等原則的要求，行政程序法第6條規定：「行政行為，非有正當理由，不得為差別待遇。」是以，行政機關就同類事件行使裁量權時，如果沒有正當理由，即應受行政先例之拘束，不得為相異的處理，此即行政自我拘束原則。倘若行政機關對於同類事件，在欠缺正當理由的情況下，未遵循行政先例，反而作成不同的處理時，即屬違反平等原則。不過，平等原則僅保障合法的平等，不保障不法的平等，故假如行政先例本身即已違法，行政機關在處理同類案件時，仍應遵守依法行政原則，不受違法行政先例的拘束。,A             
後法優於前法,根據中央法規標準法規定，法規對某一事項規定適用或準用其他法規之規定者，其他法規修正後，適用或準用修正後之法規（中央法規標準法第十七條）。此乃後法（新法）優於前法（舊法）所必然之結果，換言之，倘若社會生活所發生的事實，同時涉及數個法規範，而此數個法規範中的一個法規範有修正時，其修正前之舊規定即被修正後之新規定所取代。但此應注意刑法第2條第1項規定：行為後法律有變更者，適用行為時之法律，但行為後之法律有利於行為人者，適用最有利於行為人之法律。此即所謂之從舊從輕原則，與後法優於前法原則有所不同。,M             
