TrmTerm(法律名詞),TrmContent(解釋),JtIds(M：刑事、F：家事、G：一般、V：民事、A：行政)
再授權禁止原則,在立法技術上，立法者有時會視需要，授權由行政機關制定補充或執行性質的法規命令，但是為了避免行政機關的恣意與濫權，必須法律有明文規定時，行政機關才能再授權由其他單位辦理。此外，行政機關也必須在法律明確規定下，才能將應由法規命令規範的事項，授權由下級機關以行政規則來制定。如果沒有法律明確規定，原則上不得將法律授權事項再授權給其他單位處理。,A             
推事,法官。,A             
原處分機關,"作成行政處分時對外出具名義的行政機關，至於作成前的經過及原因如何，究竟是主動或被動，或是呈奉上級機關核准或指示，均可不問。縱使該行政機關將行政處分交由其下級機關或第三人執行，該行政機關仍是原處分機關。
例如：臺北市交通事件裁決所對人民作出交通違規的裁決書，該裁決所就是原處分機關。",A             
集中審理,有關訴訟程序的進行，以連續開庭的方式，呈現過往所發生的犯罪事實，有利於發現真實。,M             
家護字第1388號,請參考「106年度家訴字第831號」的解釋。,F             
上訴,檢察官或被告不滿意法院判決結果，而要求上一級法院審查。,M             
提存,是指提存人基於法律上清償債務或擔保的原因，將其給付物（清償提存）或擔保物（擔保提存）寄託於法院提存所的行為。,V             
管教權,指管理和教導的權利。民法第1084條第2項規定「父母對於未成年之子女，有保護及教養之權利義務」，明白將管教權納為親權的內涵，即父母對於未成年子女有管教的權利，甚至同法第1085條規定「父母得於必要範圍內懲戒其子女」，也表明父母管教子女時，得予懲戒，但不得逾越必要的範圍，否則會該當家庭暴力的行為。,F             
義務沒收,一旦符合沒收的要件，法院就只能宣告沒收，沒有任何裁量的空間，稱為義務沒收。不過，沒收必須符合憲法上比例原則，縱使在義務沒收的情形，仍應注意有刑法第38條之2第2項過苛條款的調節適用。,M             
義務辯護人,依刑事訴訟法第31條第1項規定：「有下列情形之一，於審判中未經選任辯護人者，審判長應指定公設辯護人或律師為被告辯護：一、最輕本刑為三年以上有期徒刑案件。二、高等法院管轄第一審案件。三、被告因精神障礙或其他心智缺陷無法為完全之陳述者。四、被告具原住民身分，經依通常程序起訴或審判者。五、被告為低收入戶或中低收入戶而聲請指定者。六、其他審判案件，審判長認有必要者。」義務辯護律師之辯護事項，包括閱卷、接見被告、提出辯護狀、出庭辯護及代被告撰寫書狀及其他必要事項。,M             
