Date,Call_IV_Mean,Put_IV_Mean,Call_IV_Std,Put_IV_Std,Call_Count,Put_Count,Call_Volume,Put_Volume,PCR (Trade Count),PCR (Volume)
2023-05-25,0.08951136619117031,0.17318853657229816,0.025201455822788356,0.03999438612179833,351,385,20928.0,22383.0,1.0968660968660968,1.0695240825688073
2023-05-26,0.10401002963201766,0.21067709116979183,0.03443257114981577,0.0663446994098881,504,412,28524.0,26038.0,0.8174603174603174,0.9128453232365727
2023-05-29,0.11700562226830033,0.17386738753856223,0.029055500901001414,0.05652788910094445,456,303,25530.0,17333.0,0.6644736842105263,0.6789267528397963
2023-05-30,0.0976428460702203,0.13890789618314198,0.02845317441768008,0.04996824963362882,224,331,12537.0,21635.0,1.4776785714285714,1.725691951822605
2023-05-31,0.1070899545754005,0.11625437846333439,0.026877624162339176,0.04148953886219898,966,1075,54234.0,61310.0,1.1128364389233953,1.130471659844378
2023-06-01,0.08643127707238175,0.0895225202170657,0.019851782470384303,0.025355094626494285,1458,1367,90154.0,80129.0,0.9375857338820301,0.8888013842979791
2023-06-02,0.07133552212138586,0.11057652202288722,0.03679847643377886,0.06510050677740711,1824,2792,100299.0,157321.0,1.530701754385965,1.568520124826768
2023-06-05,0.08379862755242769,0.07193025941392428,0.028857922140244647,0.07434497164909885,2739,2540,158445.0,144612.0,0.9273457466228551,0.912695257029253
2023-06-06,0.047238678132321514,0.060719882259756115,0.0322037397363345,0.033328116659451554,1883,1917,108336.0,112305.0,1.0180562931492299,1.0366360212671688
2023-06-07,0.024073838360142458,0.06683908725924696,0.04157097640994987,0.053398698608631806,3072,3957,172361.0,225433.0,1.2880859375,1.3079118826184577
2023-06-08,0.11017483934525732,0.07787205002128471,0.02821364851248317,0.04349850018035705,2510,1720,153863.0,97473.0,0.6852589641434262,0.6335051311881349
2023-06-09,0.07508420788159524,0.11560412802718949,0.03157801156332669,0.0513164216121362,1561,1857,88743.0,108576.0,1.1896220371556694,1.2234880497616714
2023-06-12,0.0842527946251569,0.11188877453401568,0.029767602395858864,0.07191925085773658,1679,2387,93079.0,139760.0,1.4216795711733174,1.5015202140117534
2023-06-13,0.052726386217836284,0.12290392036227102,0.04608256462681422,0.06948046860946855,3242,3620,192352.0,218338.0,1.1165946946329426,1.1350960738645817
2023-06-14,0.06316879486901408,0.0743547392916312,0.050202700151470825,0.06639100605647877,4164,3974,243508.0,225509.0,0.9543707973102786,0.926084563956831
2023-06-15,0.12517911123260697,0.17811715030308814,0.04986992178717274,0.03160872005335751,1890,1548,110687.0,87357.0,0.819047619047619,0.7892254736328567
2023-06-16,0.13108116113835522,0.14942418009487113,0.02704017850829856,0.045829690193498744,1851,1552,104231.0,84323.0,0.8384656942193409,0.8090011608830386
2023-06-19,0.14469239076832643,0.19293032827939924,0.04888157005156473,0.06294129080125895,2239,1803,132308.0,101417.0,0.8052702099151406,0.766522054599873
2023-06-20,0.16291099668055664,0.17927700138832856,0.08773793795750771,0.07758930308077538,2844,2114,173457.0,121548.0,0.7433192686357243,0.7007385115619433
2023-06-21,0.09587445425395173,0.18375060883331515,0.019527261826878292,0.027022271002255127,81,57,3684.0,4151.0,0.7037037037037037,1.1267643865363735
2023-06-26,0.1133338243161966,0.18334407417066836,0.02882250952249478,0.05070418004421045,291,276,17015.0,14585.0,0.9484536082474226,0.85718483690861
2023-06-27,0.11433821103254298,0.15780362869214828,0.03851857192258056,0.05760407810701656,432,217,26207.0,11899.0,0.5023148148148148,0.45403899721448465
2023-06-28,0.05614861691806077,0.1329365016784891,0.028502269719651786,0.0384371732616911,466,490,29671.0,28247.0,1.0515021459227467,0.9520070102119915
2023-06-29,0.05149990778265197,0.09869177993914631,0.029617255670929182,0.028579847536553318,1504,1483,88252.0,84700.0,0.9860372340425532,0.9597516203598785
2023-06-30,0.0413491249651151,0.10816390840676181,0.03456400175411409,0.03742511917265289,1367,1772,78720.0,100485.0,1.296269202633504,1.2764862804878048
2023-07-03,0.03707880885778133,0.08783382343382323,0.03662292683832361,0.03421365536138822,1542,2637,91495.0,153124.0,1.7101167315175096,1.6735777911361276
2023-07-04,0.026964583731102065,0.06096836445853359,0.027029089503875545,0.035106194371444806,1686,2437,94954.0,139352.0,1.4454329774614472,1.4675737725635571
2023-07-05,0.038916390704457085,0.042571335849033005,0.03353183877572099,0.054502097779302296,2571,2733,151515.0,169242.0,1.0630105017502918,1.116998316998317
2023-07-06,0.10992577586446838,0.07336713370561432,0.02774692212062301,0.04590384309728694,2815,2397,167897.0,135552.0,0.8515097690941386,0.8073521266014283
2023-07-07,0.08726764414408415,0.11160213761826109,0.021963622708502765,0.03049762330958675,2930,2754,167534.0,157125.0,0.9399317406143345,0.9378693280169995
2023-07-10,0.08510469437824855,0.08610775499445053,0.0286059057805814,0.040223673365927366,2929,2810,172840.0,158206.0,0.9593717992488904,0.9153320990511455
2023-07-11,0.03304100690047157,0.11226214539458534,0.03752688532047395,0.04448388331450877,2552,4176,142049.0,242434.0,1.6363636363636365,1.7066927609486868
2023-07-12,0.0322877061547835,0.08833876078882724,0.04340031025775466,0.06005960143885636,3790,4651,220129.0,266150.0,1.2271767810026386,1.2090637762402954
2023-07-13,0.1551777856263881,0.13957068065060985,0.04189885145949929,0.05691506102133538,2857,3373,172139.0,190836.0,1.1806090304515227,1.1086157117213415
2023-07-14,0.09418274014722063,0.18111608829102493,0.03641686017148524,0.03639774194857346,1869,2428,108573.0,139783.0,1.2990904226859283,1.287456365763127
2023-07-17,0.1398145821193895,0.21747471000889002,0.04332380674763887,0.05135452144025477,1512,2021,84215.0,106949.0,1.3366402116402116,1.2699519088048448
2023-07-18,0.22040585784004418,0.16909323499339254,0.07764103058094203,0.10401210210643798,3126,2564,179329.0,141112.0,0.8202175303902751,0.7868889025199494
