Date,00679B
2024-04-02,29.65
2024-04-03,29.43
2024-04-08,29.15
2024-04-09,29.23
2024-04-10,29.37
2024-04-11,28.95
2024-04-12,28.88
2024-04-15,28.93
2024-04-16,28.79
2024-04-17,28.6
2024-04-18,28.78
2024-04-19,29.01
2024-04-22,28.77
2024-04-23,28.92
2024-04-24,28.76
2024-04-25,28.64
2024-04-26,28.49
2024-04-29,28.66
2024-04-30,28.84
2024-05-02,28.77
2024-05-03,28.74
2024-05-06,28.97
2024-05-07,29.22
2024-05-08,29.28
2024-05-09,29.11
2024-05-10,29.31
2024-05-13,29.18
2024-05-14,29.21
2024-05-15,29.24
2024-05-16,29.63
2024-05-17,29.24
2024-05-20,29.08
2024-05-21,29.03
2024-05-22,29.1
2024-05-23,29.11
2024-05-24,29.02
2024-05-27,29.02
2024-05-28,28.95
2024-05-29,28.61
2024-05-30,28.5
2024-05-31,28.75
2024-06-03,28.92
2024-06-04,29.26
2024-06-05,29.55
2024-06-06,29.68
2024-06-07,29.7
2024-06-11,29.18
2024-06-12,29.43
2024-06-13,29.57
2024-06-14,29.93
2024-06-17,30.1
2024-06-18,30.03
2024-06-19,30.24
2024-06-20,30.12
2024-06-21,29.99
2024-06-24,30.07
2024-06-25,30.25
2024-06-26,30.23
2024-06-27,29.94
2024-06-28,29.93
2024-07-01,29.5
2024-07-02,29.32
2024-07-03,29.41
2024-07-04,29.6
2024-07-05,29.54
2024-07-08,29.67
2024-07-09,29.9
2024-07-10,29.84
2024-07-11,29.86
2024-07-12,30.15
2024-07-15,30.04
2024-07-16,30.15
2024-07-17,30.43
2024-07-18,30.39
2024-07-19,30.34
2024-07-22,30.42
2024-07-23,30.26
2024-07-26,30.12
2024-07-29,30.38
2024-07-30,30.43
2024-07-31,30.59
2024-08-01,30.89
2024-08-02,31.28
2024-08-05,32.2
2024-08-06,31.92
2024-08-07,31.52
2024-08-08,31.26
2024-08-09,30.99
2024-08-12,31.25
2024-08-13,31.25
