Date,File,SO,Contract,ContractExpiry Date,Maturity,Rf
2023/4/11,2023 (4).xlsx,15913.88,202304,2023/4/19,8,0.012
2023/4/10,2023 (4).xlsx,15876.17,202304,2023/4/19,9,0.012
2023/4/7,2023 (4).xlsx,15836.5,202304,2023/4/19,12,0.012
2023/4/6,2023 (4).xlsx,15810.77,202304,2023/4/19,13,0.012
2023/3/31,2023 (4).xlsx,15868.06,202304,2023/4/19,19,0.012
2023/3/30,2023 (4).xlsx,15849.43,202304,2023/4/19,20,0.012
2023/3/29,2023 (4).xlsx,15769.76,202304,2023/4/19,21,0.012
2023/3/28,2023 (4).xlsx,15701.48,202304,2023/4/19,22,0.012
2023/3/27,2023 (4).xlsx,15830.31,202304,2023/4/19,23,0.012
2023/3/24,2023 (4).xlsx,15914.7,202304,2023/4/19,26,0.012
2023/3/23,2023 (4).xlsx,15863.95,202304,2023/4/19,27,0.012
2023/3/22,2023 (4).xlsx,15760.46,202304,2023/4/19,28,0.012
2023/3/21,2023 (4).xlsx,15513.45,202304,2023/4/19,29,0.012
2023/3/20,2023 (4).xlsx,15419.97,202304,2023/4/19,30,0.012
2023/3/17,2023 (4).xlsx,15452.96,202304,2023/4/19,33,0.012
2023/3/16,2023 (4).xlsx,15221.12,202304,2023/4/19,34,0.012
2023/3/15,2023 (4).xlsx,15387.59,202303,2023/3/15,0,0.012
2023/3/14,2023 (4).xlsx,15360.42,202303,2023/3/15,1,0.012
2023/3/13,2023 (4).xlsx,15560.49,202303,2023/3/15,2,0.012
2023/3/10,2023 (4).xlsx,15526.2,202303,2023/3/15,5,0.012
2023/3/9,2023 (4).xlsx,15770.66,202303,2023/3/15,6,0.012
2023/3/8,2023 (4).xlsx,15818.2,202303,2023/3/15,7,0.012
2023/3/7,2023 (4).xlsx,15857.89,202303,2023/3/15,8,0.012
2023/3/6,2023 (4).xlsx,15763.51,202303,2023/3/15,9,0.012
2023/3/3,2023 (4).xlsx,15608.42,202303,2023/3/15,12,0.012
2023/3/2,2023 (4).xlsx,15598.72,202303,2023/3/15,13,0.012
2023/3/1,2023 (4).xlsx,15598.49,202303,2023/3/15,14,0.012
2023/2/24,2023 (4).xlsx,15503.79,202303,2023/3/15,19,0.012
2023/2/23,2023 (4).xlsx,15615.41,202303,2023/3/15,20,0.012
2023/2/22,2023 (4).xlsx,15418.77,202303,2023/3/15,21,0.012
2023/2/21,2023 (4).xlsx,15563,202303,2023/3/15,22,0.012
2023/2/20,2023 (4).xlsx,15551.23,202303,2023/3/15,23,0.012
2023/2/17,2023 (4).xlsx,15479.7,202303,2023/3/15,26,0.012
2023/2/16,2023 (4).xlsx,15550.5,202303,2023/3/15,27,0.012
2023/2/15,2023 (4).xlsx,15432.89,202302,2023/2/15,0,0.012
2023/2/14,2023 (4).xlsx,15654.48,202302,2023/2/15,1,0.012
2023/2/13,2023 (4).xlsx,15544.28,202302,2023/2/15,2,0.012
2023/2/10,2023 (4).xlsx,15586.65,202302,2023/2/15,5,0.012
2023/2/9,2023 (4).xlsx,15598.71,202302,2023/2/15,6,0.012
2023/2/8,2023 (4).xlsx,15618.17,202302,2023/2/15,7,0.012
2023/2/7,2023 (4).xlsx,15400.91,202302,2023/2/15,8,0.012
2023/2/6,2023 (4).xlsx,15392.82,202302,2023/2/15,9,0.012
2023/2/3,2023 (4).xlsx,15602.66,202302,2023/2/15,12,0.012
2023/2/2,2023 (4).xlsx,15595.16,202302,2023/2/15,13,0.012
2023/2/1,2023 (4).xlsx,15420.13,202302,2023/2/15,14,0.012
2023/1/31,2023 (4).xlsx,15265.2,202302,2023/2/15,15,0.012
2023/1/30,2023 (4).xlsx,15493.82,202302,2023/2/15,16,0.012
2023/1/17,2023 (4).xlsx,14932.93,202301,2023/1/18,1,0.012
2023/1/16,2023 (4).xlsx,14927.01,202301,2023/1/18,2,0.012
2023/1/13,2023 (4).xlsx,14824.13,202301,2023/1/18,5,0.012
2023/1/12,2023 (4).xlsx,14731.64,202301,2023/1/18,6,0.012
2023/1/11,2023 (4).xlsx,14751.44,202301,2023/1/18,7,0.012
2023/1/10,2023 (4).xlsx,14802.96,202301,2023/1/18,8,0.012
2023/1/9,2023 (4).xlsx,14752.21,202301,2023/1/18,9,0.012
2023/1/6,2023 (4).xlsx,14373.34,202301,2023/1/18,12,0.012
2023/1/5,2023 (4).xlsx,14301.05,202301,2023/1/18,13,0.012
2023/1/4,2023 (4).xlsx,14199.13,202301,2023/1/18,14,0.012
2023/1/3,2023 (4).xlsx,14224.12,202301,2023/1/18,15,0.012
